1.400000xOptimal,1.350000xOptimal,1.325000xOptimal,1.300000xOptimal,1.275000xOptimal,1.250000xOptimal,1.225000xOptimal,1.200000xOptimal,1.175000xOptimal,1.150000xOptimal,1.125000xOptimal,1.100000xOptimal,1.075000xOptimal,1.050000xOptimal,1.025000xOptimal,1.000000xOptimal,BestFoundIn,BestResultOptimality
#Baseline:
#alpha=1,beta=3.5,rho=0.5,numCities=52,q_0=0.7,epsilon=0.1
0:1741,0:1173,0:3110,0:1320,0:1051,0:944,0:1168,0:2211,0:172,0:122,0:50,0.820922:12,-1:0,-1:0,-1:0,-1:0,0.820922,1.08596
0:3821,0:1426,0:2378,0:1132,0:1059,0:800,0:278,0:125,0:101,0:11,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.11866
0:2008,0:2159,0:1461,0:1858,0:1290,0:1502,0:886,0:708,0:304,0:194,0:18,1.06009:3,-1:0,-1:0,-1:0,-1:0,1.46309,1.08356
0:1150,0:731,0:694,0:727,0:669,0:565,0:501,0:3748,0:1015,0:3435,0:93,0.999279:5,0.999279:6,-1:0,-1:0,-1:0,0.999279,1.0655
0:1919,0:1758,0:4521,0:2216,0:806,0:975,0:388,0:267,0:53,0:36,0:4,-1:0,-1:0,-1:0,-1:0,-1:0,1.12052,1.11011
#alpha=1,beta=2,rho=0.5,numCities=52,q_0=0.7,epsilon=0.1
0:792,0:248,0:218,0:150,0:120,0:48,0:33,0:8,0:10,0:0,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.11866
0:1687,0:243,0:227,0:179,0:160,0:32,0:28,0:9,0:0,0:0,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.11866
0:1514,0:2669,0:585,0:270,0:85,0:27,0:13,0:1,0:0,0:0,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.11866
0:2452,0:377,0:309,0:275,0:124,0:82,0:37,0:12,0:2,0:0,0:0,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.11866
