1.400000xOptimal,1.350000xOptimal,1.325000xOptimal,1.300000xOptimal,1.275000xOptimal,1.250000xOptimal,1.225000xOptimal,1.200000xOptimal,1.175000xOptimal,1.150000xOptimal,1.125000xOptimal,1.100000xOptimal,1.075000xOptimal,1.050000xOptimal,1.025000xOptimal,1.000000xOptimal,BestFoundIn,BestResultOptimality
#Baseline:
#alpha=1,beta=3.5,rho=0.5,numCities=52,elitism=52
0:4,0:3,0:2,0:5,0:8,0:2,0:6,0:2,0:5,0:8,0:103,0.007735:19,0.020331:14806,-1:0,-1:0,-1:0,0.020331,1.07339
0:10,0:7,0:8,0:6,0:3,0:5,0:21,0:8,0:12,0:10,0:55,0.024111:55,0.030375:1,0.030375:14784,-1:0,-1:0,0.030375,1.03987
0:11,0:3,0:6,0:5,0:1,0:7,0:9,0:4,0:5,0:5,0:109,0.024421:14817,-1:0,-1:0,-1:0,-1:0,0.024421,1.08403
0:4,0:1,0:2,0:6,0:3,0:8,0:8,0:4,0:5,0:6,0:141,0.041948:6,0.050186:14783,-1:0,-1:0,-1:0,0.050186,1.06822
0:4,0:3,0:1,0:3,0:5,0:10,0:3,0:2,0:1,0:5,0:114,0.012917:3,0.012917:14827,-1:0,-1:0,-1:0,0.018973,1.05747
#alpha=1,beta=2,rho=0.5,numCities=52,elitism=52
0:8,0:4,0:9,0:4,0:4,0:3,0:7,0:25,0:15,0:7,0:81,0.038858:0,0.038858:14784,-1:0,-1:0,-1:0,0.038858,1.05516
0:5,0:3,0:2,0:5,0:7,0:9,0:77,0:0,0:2,0:2,0:14843,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.11866
0:6,0:4,0:2,0:4,0:7,0:6,0:81,0:1,0:2,0:6,0:14828,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.11866
0:5,0:4,0:7,0:3,0:5,0:6,0:20,0:72,0:3,0:1,0:14822,-1:0,-1:0,-1:0,-1:0,-1:0,0.044801,1.11444
0:5,0:1,0:4,0:5,0:3,0:10,0:87,0:12,0:2,0:7,0:14820,-1:0,-1:0,-1:0,-1:0,-1:0,0,1.11866
#alpha=1,beta=5,rho=0.5,numCities=52,elitism=52
0:6,0:3,0:7,0:8,0:14,0:34,0:18,0:53,0:700,0:28,0:239,0.014109:11685,0.023091:2201,-1:0,-1:0,-1:0,0.023091,1.06136
0:7,0:2,0:5,0:2,0:53,0:31,0:84,0:126,0:201,0:3713,0:590,0.017996:2952,0.051894:7229,-1:0,-1:0,-1:0,0.051894,1.06857
0:12,0:7,0:5,0:2,0:35,0:1411,0:106,0:5395,0:5,0:9,0:7702,0.004546:236,0.004546:71,-1:0,-1:0,-1:0,0.004546,1.07138
0:5,0:1,0:3,0:7,0:10,0:18,0:15,0:30,0:6,0:20,0:46,0.011357:9256,0.011357:5578,-1:0,-1:0,-1:0,0.034234,1.0547
0:2,0:4,0:4,0:3,0:7,0:19,0:7,0:8,0:3,0:9,0:14929,-1:0,-1:0,-1:0,-1:0,-1:0,0.012483,1.11803
#alpha=1,beta=3.5,rho=0.1,numCities=52,elitism=52
0:13,0:11,0:16,0:21,0:22,0:60,0:58,0:3029,0:16,0:37,0:515,0.024235:1931,0.05464:9243,-1:0,-1:0,-1:0,0.05464,1.07339
0:19,0:14,0:18,0:41,0:56,0:103,0:36,0:69,0:34,0:27,0:57,0.020762:456,0.02767:14035,-1:0,-1:0,-1:0,0.073626,1.06294
0:13,0:12,0:18,0:39,0:60,0:113,0:57,0:100,0:15,0:22,0:100,0.020831:648,0.149577:13772,-1:0,-1:0,-1:0,0.149577,1.06049
0:20,0:11,0:8,0:19,0:21,0:30,0:34,0:76,0:38,0:20,0:615,0.033428:8340,0.033428:231,0.205749:5510,-1:0,-1:0,0.205749,1.04656
0:8,0:9,0:8,0:13,0:17,0:40,0:89,0:81,0:22,0:27,0:299,0.075973:14353,-1:0,-1:0,-1:0,-1:0,0.083933,1.09404
#alpha=1,beta=5,rho=0.1,numCities=52,elitism=52
0:9,0:17,0:12,0:41,0:92,0:85,0:209,0:262,0:286,0:3064,0:573,0.005946:111,0.023516:6960,0.032452:1296,0.117948:1974,-1:0,0.124283,1.0184
0:15,0:5,0:1,0:21,0:31,0:170,0:52,0:351,0:98,0:36,0:127,0.012951:56,0.02914:6855,0.059064:7176,-1:0,-1:0,0.059064,1.04713
0:11,0:4,0:12,0:24,0:22,0:41,0:60,0:45,0:34,0:43,0:69,0.0114:175,0.026304:115,0.047832:14341,-1:0,-1:0,0.101618,1.03025
0:10,0:3,0:10,0:10,0:17,0:25,0:37,0:34,0:34,0:55,0:88,0.007637:78,0.017821:3017,0.017821:66,0.052371:11512,-1:0,0.052371,1.02406
0:5,0:8,0:11,0:15,0:28,0:47,0:113,0:160,0:133,0:58,0:4991,0.028211:451,0.155844:5,0.167317:59,0.167317:8910,-1:0,0.167317,1.01938
#alpha=1,beta=3.5,rho=0.5,numCities=52,elitism=52
0:5,0:2,0:5,0:182,0:290,0:1954,0:18,0:18,0:6,0:3,0:26,0.006639:8456,0.010585:4017,-1:0,-1:0,-1:0,0.015372,1.05374
0:4,0:3,0:5,0:2,0:3,0:8,0:4464,0:11,0:11,0:8,0:105,0.016683:10354,-1:0,-1:0,-1:0,-1:0,0.016683,1.08403
0:6,0:3,0:1,0:5,0:3,0:10,0:17,0:5,0:5,0:6,0:14920,-1:0,-1:0,-1:0,-1:0,-1:0,0.047733,1.1053
0:6,0:4,0:7,0:5,0:16,0:5,0:16,0:4969,0:5,0:8,0:19,0.007304:63,0.01544:9862,-1:0,-1:0,-1:0,0.026785,1.0652
0:9,0:3,0:4,0:8,0:6,0:8,0:7,0:182,0:1216,0:133,0:6376,0.010671:3,0.010671:7028,-1:0,-1:0,-1:0,0.010671,1.06299
#alpha=1,beta=3.5,rho=0.5,numCities=52,elitism=52
0:4,0:2,0:5,0:2,0:7,0:6,0:6,0:5,0:8,0:10,0:16,0.005725:28,0.010575:39,0.020507:14839,-1:0,-1:0,0.020507,1.04972
0:4,0:5,0:4,0:5,0:9,0:7,0:8,0:12,0:5,0:4,0:52,0.01551:58,0.01551:5,0.026746:14804,-1:0,-1:0,0.026746,1.03987
0:8,0:2,0:7,0:8,0:8,0:7,0:39,0:158,0:25,0:21,0:28,0.013537:7,0.020036:15,0.034069:14648,-1:0,-1:0,0.034069,1.04281
0:6,0:1,0:4,0:3,0:4,0:7,0:13,0:6,0:3,0:5,0:14924,-1:0,-1:0,-1:0,-1:0,-1:0,0.030572,1.1144
0:5,0:3,0:8,0:2,0:5,0:6,0:11,0:8,0:7,0:19,0:52,0.017523:4,0.017523:0,0.017523:14845,-1:0,-1:0,0.017523,1.04452
