1.400000,1.350000xOptimal,1.325000xOptimal,1.300000xOptimal,1.275000xOptimal,1.250000xOptimal,1.225000xOptimal,1.200000xOptimal,1.175000xOptimal,1.150000xOptimal,1.125000xOptimal,1.100000xOptimal,1.075000xOptimal,1.050000xOptimal,1.025000xOptimal,1.000000xOptimal,BestFoundIn,BestResultOptimality
#Baseline:
#alpha=1,beta=3.5,rho=0.5,numCities=574,elitism=574
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.33798,1.26619
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.49893,1.26516
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.07532,1.2658
#alpha=1,beta=2,rho=0.5,numCities=574,elitism=574
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
#alpha=1,beta=5,rho=0.5,numCities=574,elitism=574
0,0,0,0,0,0.631197,1.23328,3.12471,-1,-1,-1,-1,-1,-1,-1,-1,4.06415,1.17769
0,0,0,0,0,0.987953,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.74324,1.23122
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.65122,1.25474
0,0,0,0,0,0.919327,0.966177,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.0342,1.21616
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.643187,1.26656
#alpha=1,beta=3.5,rho=0.1,numCities=574,elitism=574
0,0,0,0,0,11.8702,17.3603,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.7683,1.22363
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.6072,1.26075
0,0,0,0,0,3.24029,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.5574,1.2286
0,0,0,0,0,3.31934,3.97681,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.481,1.21045
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.39042,1.2628
#alpha=1,beta=5,rho=0.1,numCities=574,elitism=574
0,0,0,0,0,1.44855,1.60456,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.74436,1.20653
0,0,0,0,0,2.86384,4.73797,5.79737,-1,-1,-1,-1,-1,-1,-1,-1,15.3591,1.19167
0,0,0,0,0,3.32938,6.83692,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.83692,1.22387
0,0,0,0,0,1.0743,2.49632,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.0775,1.20717
0,0,0,0,0,4.55811,5.79159,21.8359,-1,-1,-1,-1,-1,-1,-1,-1,186.466,1.1859
#alpha=1,beta=3.5,rho=0.5,numCities=574,elitism=574
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.02664,1.26354
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
#alpha=1,beta=3.5,rho=0.5,numCities=574,elitism=574
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.99917,1.26436
0,0,0,0,0,0.920524,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.920524,1.23311
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.67201,1.26557
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.875075,1.26083
